deptAbbr,course,ibsn,campus,amazon
Am Ind, C170,978-0803272620,27.67,27.95
Anthro,9,978-0030119194,40.59,31.14
Anthro,135T,978-0300080643,31.68,32
Anthro,191HB,978-0226206813,16,11.52
Art His,M102K,978-0892365999,18.95,14.21
Art His,118E,978-0394723693,14.95,10.17
Asia Am,187B,978-0822338437,24.7,20.06
Asia Am,191E,978-0816646135,19.5,16.66
Ch Engr,C125,978-0195123401,123.84,106.25
Chicano,M145B,978-0896086265,17,13.26
Chin,174,978-0791420621,31.63,29.95
Com Sci,180,978-0321295354,116,88.09
Comm Lit,290,978-0393329254,27.67,18.45
Comm St,10,978-0195181234,24.7,16.47
Comptng,20A,978-0470509487,126.67,97.38
E&S Sci,7,978-0521711128,53.9,47.51
E&S Sci,101,978-0393927634,89.73,74.93
Econ,101,978-0324421620,171,132.77
El Engr,2,978-0131497269,152,121.5
El Engr,176,978-0471287704,124.8,108
Engl,M104C,978-0582276024,16,11.67
Engl,151,978-0199561339,25.95,18.94
Engl,180,978-0374515362,18,12.24
Engl,M260A,978-0804747295,21.73,21.95
Engr,183EW,978-0132306416,40.59,31.14
ESL,38A,978-1577665304,28.95,28.95
Frnch,120,978-2020525718,19.95,16.15
Geog,232,978-1405102667,49.45,37.75
German,57,978-0205668946,41.09,31.78
Greek,130,978-1598561692,50.95,32.97
Hist,97F,978-1560000259,44.5,30.87
Hist,201B,978-0198149248,82.45,85
Hist,201L,978-0742567498,34.6,34.95
Hlt Ser,M422,978-0761918479,88.42,97.95
Hlt Ser,437,978-0763745554,84,81.18
Hnrs,37,978-0140447187,11.25,9.5
Hnrs,M106,978-1400033416,15,10.2
Lifesci,2,978-0716776710,180.03,134.69
Mat Sci,104,978-0470419977,174,143.75
Math,151A,978-0534407612,188.58,176
Mgmt,1A,978-0077251031,146.75,150.63
Mgmt,124,978-0078136634,183.75,145.4
Mgmt,127B,978-0324828641,214.5,173.56
Mgmt,228,978-0073379661,197,131
Mgmt,231D,978-0131407374,194,157.68
Mgmt,263A,978-0073404769,176.25,137.17
Mus His,191G,978-0195162578,24.7,24.95
Physics,6A,978-0534491437,188,159.28
Pol Sci,10,978-0393090406,29.7,23.07
Pol Sci,120B,978-1588264169,26.24,21.04
Pol Sci,M132B,978-0205753383,55.13,42.68
Pol Sci,171C,978-0393976267,43.56,39.37
Pol Sci,200C,978-0471663799,129.6,85.2
Psych,10,978-1429227049,123.84,93.13
Psych,134A,978-0073378541,85.12,67.4
Psych,263,978-0495099697,152.48,132.79
Russian,90B,978-0674304437,29.7,24.31
Soc Gen,102W,978-0520265882,24.7,24.95
Soc Wlf,M104D,978-1412969666,89.71,85.45
Sociol,180A,978-0812968378,10.5,10.08
Span,105,978-0618527748,92.88,65.73
Span,115,978-0471013914,100.88,84.26
Stat,98T,978-0393310726,11.95,8.6
Stat,C180,978-1584883883,72.47,58.42
Stat,200C,978-0412043710,92.1,80.37
Stat,C216,978-1441931566,78.35,64.09
Urbn Pl,M275,978-1592134328,42,37.04
Wld Art,C139,978-0520224759,18.75,20.21
Wld Art,C180,978-1412923484,48.46,39.34
Wld Art,C409A,978-0195390827,39.55,26.37
Wld Art,495,978-0820474151,29.65,24.19
Wom Std,M144,978-1570755637,23.76,18.72
Wom Std,285,978-0822341147,27.7,18.22
